Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.104-40.99.34.162-58458-443-6,192.168.0.104,58458,40.99.34.162,443,6,26/03/2025 12:37:51 AM,15901,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,125.77825294006668,15901.0,0.0,15901.0,15901.0,0,0,0,0,0,15901.0,15901.0,0.0,15901.0,15901.0,0,0,0,0,0,40,0.0,125.77825294006668,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,16385,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.104-35.244.233.98-58481-443-6,192.168.0.104,58481,35.244.233.98,443,6,26/03/2025 12:37:23 AM,40762346,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.02453244472239159,0.07359733416717477,2.0381173E7,2.8800627489142004E7,4.0746292E7,16054.0,0,0,0,0,0,16054.0,16054.0,0.0,16054.0,16054.0,0,0,0,0,20,52,0.02453244472239159,0.04906488944478318,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,1046,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.104-20.190.146.32-58499-443-6,192.168.0.104,58499,20.190.146.32,443,6,26/03/2025 12:38:14 AM,141567,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,14.12758623125446,141567.0,0.0,141567.0,141567.0,0,0,0,0,0,141567.0,141567.0,0.0,141567.0,141567.0,0,0,0,0,0,40,0.0,14.12758623125446,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,16385,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.104-20.189.173.13-58508-443-6,192.168.0.104,58508,20.189.173.13,443,6,26/03/2025 12:38:40 AM,612523,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2651835114763035,612523.0,0.0,612523.0,612523.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.6325917557381517,1.6325917557381517,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1024,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.104-52.231.230.148-58520-443-6,192.168.0.104,58520,52.231.230.148,443,6,26/03/2025 12:38:49 AM,3444348,14,14,2952.0,7176.0,1440.0,0.0,210.85714285714283,415.7659950469286,1440.0,0.0,512.5714285714284,633.2934323270465,2940.469429918231,8.129259877341081,127568.44444444444,520793.15539150574,2722655.0,1.0,3335312.0,256562.46153846153,744817.4169189179,2722655.0,11.0,670126.0,51548.153846153844,69808.17693848163,179493.0,1.0,0,0,0,0,280,304,4.0646299386705405,4.0646299386705405,0.0,1440.0,349.2413793103449,541.9716423243415,293733.2610837439,0,1,0,0,0,0,0,0,1.0,361.7142857142857,210.85714285714286,512.5714285714286,0,0,0,0,0,0,14,2952,14,7176,-1,2048,7,0,0,0,0,0,0,0,0,0,No Label
192.168.0.104-35.244.233.98-58517-443-6,192.168.0.104,58517,35.244.233.98,443,6,26/03/2025 12:38:04 AM,49792407,7,7,2097.0,798.0,1412.0,0.0,299.57142857142856,540.6847069974815,586.0,0.0,114.0,222.62374835882477,58.14139493196222,0.28116736754662214,3830185.153846154,1.2415924151365085E7,4.495941E7,0.0,4.9643764E7,8273960.666666667,1.805519096186411E7,4.495941E7,21.0,4.5416215E7,7569369.166666666,1.83471976341131E7,4.5019944E7,0.0,0,0,0,0,140,176,0.14058368377331107,0.14058368377331107,0.0,1412.0,193.00000000000003,397.4783012945486,157988.99999999997,0,1,0,0,0,0,0,0,1.0,206.78571428571428,299.57142857142856,114.0,0,0,0,0,0,0,7,2097,7,798,-1,1046,4,0,440410.0,0.0,440410.0,440410.0,4.495941E7,0.0,4.495941E7,4.495941E7,No Label
192.168.0.104-35.241.24.90-58482-443-6,192.168.0.104,58482,35.241.24.90,443,6,26/03/2025 12:37:31 AM,83183086,17,21,3310.0,358.0,1140.0,0.0,194.70588235294122,364.055587222934,80.0,0.0,17.04761904761905,29.716117159676482,44.095502780457075,0.4568236384016818,2248191.5135135134,7602889.985764293,3.2045325E7,1.0,8.1801687E7,5112605.437499999,1.1237023087222392E7,3.2066527E7,130.0,6.7252541E7,3362627.0500000003,9736340.16409203,3.2094014E7,1.0,0,0,0,0,340,444,0.2043684698112787,0.25245516859040307,0.0,1140.0,94.07692307692307,253.5877699831367,64306.75708502025,0,0,0,0,1,0,0,0,1.0,96.55263157894737,194.7058823529412,17.047619047619047,0,0,0,0,0,0,17,3310,21,358,-1,1025,13,0,1481037.0,362167.36540168826,1737128.0,1224946.0,3.17182295E7,462582.89229120873,3.2045325E7,3.1391134E7,No Label
192.168.0.104-13.69.109.130-58523-443-6,192.168.0.104,58523,13.69.109.130,443,6,26/03/2025 12:38:56 AM,1300998,10,12,7919.0,5200.0,1440.0,0.0,791.9,661.1124379071654,1440.0,0.0,433.3333333333333,621.54285061572,10083.797207989557,16.910095173090195,61952.28571428572,141000.65107195172,516865.0,1.0,699079.0,77675.44444444444,174591.18832583673,517089.0,5.0,1300998.0,118272.54545454547,181681.84478112482,518665.0,1.0,0,0,0,0,200,264,7.68640689685918,9.223688276231016,0.0,1440.0,570.3913043478261,647.5310971213124,419296.5217391305,0,1,0,0,0,0,0,0,1.0,596.3181818181819,791.9,433.3333333333333,0,0,0,0,0,0,10,7919,12,5200,-1,16380,7,0,0,0,0,0,0,0,0,0,No Label
192.168.0.104-13.69.109.130-58523-443-6,192.168.0.104,58523,13.69.109.130,443,6,26/03/2025 12:38:58 AM,1478,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,16238.159675236808,2029.769959404601,739.0,783.4743135546946,1293.0,185.0,185.0,185.0,0.0,185.0,185.0,0,0,0,0,0,0,0,0,0,40,20,1353.1799729364006,676.5899864682003,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,253,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.104-20.189.173.27-58524-443-6,192.168.0.104,58524,20.189.173.27,443,6,26/03/2025 12:38:57 AM,2436537,18,18,6219.0,8422.0,1440.0,0.0,345.50000000000006,493.1557742205386,1440.0,0.0,467.8888888888889,639.3439550120557,6008.938095337769,14.775068057657242,69615.34285714285,155170.089691914,592470.0,1.0,2196584.0,129210.82352941176,208262.10631894707,592470.0,20.0,1975871.0,116227.70588235294,200471.8334472965,595295.0,1.0,0,0,0,0,372,396,7.387534028828621,7.387534028828621,0.0,1440.0,395.7027027027026,562.215798073661,316086.6036036035,0,1,0,0,0,0,0,0,1.0,406.69444444444446,345.5,467.8888888888889,0,0,0,0,0,0,18,6219,18,8422,-1,16382,10,0,0,0,0,0,0,0,0,0,No Label
