Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.37.26-54.189.15.226-53186-443-6,54.189.15.226,443,192.168.37.26,53186,6,28/03/2025 02:37:25 PM,369,0,3,0.0,62.0,0,0,0,0,31.0,0.0,20.666666666666664,17.8978583448784,168021.68021680217,8130.081300813007,184.5,127.9863273947651,275.0,94.0,0,0,0,0,0,369.0,184.5,127.9863273947651,275.0,94.0,0,1,0,0,0,60,0.0,8130.081300813007,0.0,31.0,23.25,15.5,240.25,0,0,0,1,1,0,0,0,0.0,31.0,0.0,20.666666666666668,0,0,0,0,0,0,0,0,3,62,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
140.82.113.22-192.168.37.26-443-53206-6,192.168.37.26,53206,140.82.113.22,443,6,28/03/2025 02:37:28 PM,647367,4,2,1905.0,0.0,1300.0,0.0,476.25,618.80765724631,0.0,0.0,0.0,0.0,2942.689386391336,9.268313028004208,129473.4,234493.95769998,540920.0,8.0,106304.0,35434.666666666664,60848.81952292364,105696.0,8.0,540920.0,540920.0,0.0,540920.0,540920.0,0,0,0,0,80,64,6.178875352002805,3.0894376760014026,0.0,1300.0,272.14285714285717,506.2267043434949,256265.47619047618,0,1,0,0,0,0,0,0,0.0,317.5,476.25,0.0,0,0,0,0,0,0,4,1905,2,0,-1,65535,2,0,0,0,0,0,0,0,0,0,No Label
140.82.113.22-192.168.37.26-443-53206-6,140.82.113.22,443,192.168.37.26,53206,6,28/03/2025 02:37:29 PM,539,5,5,4062.0,0.0,1280.0,0.0,812.4,645.0804600978082,0.0,0.0,0.0,0.0,7536178.107606679,18552.87569573284,59.888888888888886,71.84783303003029,214.0,1.0,538.0,134.5,114.66036804406308,236.0,1.0,504.0,126.0,82.47423840206105,229.0,28.0,0,0,0,0,100,100,9276.43784786642,9276.43784786642,0.0,1280.0,369.27272727272725,588.5998795292251,346449.81818181823,0,0,0,0,1,0,0,0,1.0,406.2,812.4,0.0,0,0,0,0,0,0,5,4062,5,0,-1,0,4,0,0,0,0,0,0,0,0,0,No Label
192.168.37.26-20.207.73.82-53198-443-6,192.168.37.26,53198,20.207.73.82,443,6,28/03/2025 02:37:25 PM,5909148,6,10,1816.0,3673.0,1300.0,0.0,302.66666666666663,519.3760358994884,1280.0,0.0,367.29999999999995,558.5224654787347,928.8987177170042,2.707666147471683,393943.2,1315924.8892852184,5135472.0,1.0,510873.0,102174.6,139346.06984339387,259824.0,8.0,5909148.0,656572.0,1684232.1759161502,5135595.0,1.0,0,0,0,0,120,224,1.0153748053018812,1.6922913421698018,0.0,1300.0,322.8823529411765,517.3682057240449,267669.8602941176,0,1,0,0,0,0,0,0,1.0,343.0625,302.6666666666667,367.3,0,0,0,0,0,0,6,1816,10,3673,-1,70,3,0,773299.0,0.0,773299.0,773299.0,5135472.0,0.0,5135472.0,5135472.0,No Label
140.82.113.22-192.168.37.26-443-53207-6,192.168.37.26,53207,140.82.113.22,443,6,28/03/2025 02:37:28 PM,5911606,11,9,1922.0,4220.0,1300.0,0.0,174.72727272727272,400.7994737793679,1280.0,0.0,468.8888888888889,612.1943001295513,1038.9731656676713,3.383175401066986,311137.1578947369,521826.8982158593,1981073.0,1.0,5298868.0,529886.8,629255.0084396626,1981073.0,9.0,3930446.0,491305.75,542068.907177663,1626800.0,1.0,0,0,0,0,256,204,1.8607464705868422,1.5224289304801437,0.0,1300.0,292.4761904761904,506.103015111313,256140.26190476195,0,1,0,0,0,0,0,0,0.0,307.1,174.72727272727272,468.8888888888889,0,0,0,0,0,0,11,1922,9,4220,-1,70,4,0,0,0,0,0,0,0,0,0,No Label
192.168.37.26-20.207.73.82-53198-443-6,192.168.37.26,53198,20.207.73.82,443,6,28/03/2025 02:37:31 PM,3498877,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5716119772144034,3498877.0,0.0,3498877.0,3498877.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.2858059886072017,0.2858059886072017,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,251,0,0,0,0,0,0,0,0,0,0,No Label
185.199.108.154-192.168.37.26-443-53199-6,192.168.37.26,53199,185.199.108.154,443,6,28/03/2025 02:37:25 PM,9407620,5,6,2116.0,453.0,1300.0,0.0,423.2,583.9753419451887,453.0,0.0,75.5,184.93647558012992,273.076506066359,1.1692649150369594,940762.0,2804146.6389465285,8917104.0,11.0,9179208.0,2294802.0,4566527.09071259,9144551.0,11.0,490516.0,98103.2,120475.01003818178,230529.0,380.0,0,0,0,0,100,144,0.531484052289527,0.6377808627474324,0.0,1300.0,214.08333333333331,417.22338867878204,174075.35606060605,0,1,0,0,0,0,0,0,1.0,233.54545454545453,423.2,75.5,0,0,0,0,0,0,5,2116,6,453,-1,296,3,0,0,0,0,0,0,0,0,0,No Label
140.82.113.22-192.168.37.26-443-53204-6,192.168.37.26,53204,140.82.113.22,443,6,28/03/2025 02:37:28 PM,6286717,25,24,12853.0,5799.0,1300.0,0.0,514.1200000000001,564.9062842631511,1280.0,0.0,241.625,431.2527567649757,2966.890349923497,7.7942111916283165,130973.27083333333,588012.7295003183,4001368.0,0.0,5952008.0,248000.3333333333,898007.3238870348,4382950.0,2.0,2285349.0,99363.0,195462.28122139763,556048.0,0.0,0,0,0,0,500,636,3.976638363075672,3.817572828552645,0.0,1300.0,373.04000000000013,514.8330405013229,265053.05959183676,0,1,0,0,0,0,0,0,0.0,380.6530612244898,514.12,241.625,0,0,0,0,0,0,25,12853,24,5799,-1,94,18,0,0,0,0,0,0,0,0,0,No Label
185.199.108.133-192.168.37.26-443-53203-6,192.168.37.26,53203,185.199.108.133,443,6,28/03/2025 02:37:27 PM,7456772,92,178,2600.0,214915.0,1300.0,0.0,28.2608695652174,157.26465895895782,1280.0,0.0,1207.3876404494374,286.1273101024987,29170.128843955536,36.20869727544305,27720.342007434945,435015.9191587583,7133959.0,0.0,7289633.0,80105.85714285714,747672.3942102001,7133959.0,8.0,322694.0,1823.1299435028247,12844.715115035746,167009.0,0.0,0,0,0,0,1840,3584,12.337778330891705,23.87091894455134,0.0,1300.0,802.6383763837641,613.7761642937368,376721.1798551322,0,1,0,0,0,0,0,0,1.0,805.6111111111111,28.26086956521739,1207.387640449438,0,0,0,0,0,0,92,2600,178,214915,-1,301,6,0,0,0,0,0,0,0,0,0,No Label
192.168.37.26-20.207.73.85-53205-443-6,192.168.37.26,53205,20.207.73.85,443,6,28/03/2025 02:37:28 PM,6193610,19,23,7391.0,5746.0,1300.0,0.0,388.9999999999999,528.4400523133054,1280.0,0.0,249.8260869565217,457.5322792560813,2121.0570249014713,6.7811825413611775,151063.6585365854,716553.903910153,4606217.0,0.0,6153107.0,341839.27777777775,1131920.8510077437,4859689.0,7.0,5936822.0,269855.54545454547,983069.9934967924,4652903.0,0.0,0,0,0,0,380,496,3.0676778163300567,3.713504725031121,0.0,1300.0,305.5116279069768,486.2137670228239,236403.8272425249,0,1,0,0,0,0,0,0,1.0,312.7857142857143,389.0,249.82608695652175,0,0,0,0,0,0,19,7391,23,5746,-1,81,13,0,0,0,0,0,0,0,0,0,No Label
